# Renewables.ninja Solar PV (Point API) - 10.888, -74.831 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in America/Bogota, electricity in kW
# {"units": {"time": "UTC", "local_time": "America/Bogota", "electricity": "kW"}, "params": {"local_time": true, "header": true, "lat": "10.888268085443432", "lon": "-74.83115367789861", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1000", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": false}}
time,local_time,electricity
2019-01-01 00:00,2018-12-31 19:00,0
2019-01-01 01:00,2018-12-31 20:00,0
2019-01-01 02:00,2018-12-31 21:00,0
2019-01-01 03:00,2018-12-31 22:00,0
2019-01-01 04:00,2018-12-31 23:00,0
2019-01-01 05:00,2019-01-01 00:00,0
2019-01-01 06:00,2019-01-01 01:00,0
2019-01-01 07:00,2019-01-01 02:00,0
2019-01-01 08:00,2019-01-01 03:00,0
2019-01-01 09:00,2019-01-01 04:00,0
2019-01-01 10:00,2019-01-01 05:00,0
2019-01-01 11:00,2019-01-01 06:00,46.826
2019-01-01 12:00,2019-01-01 07:00,313.968
2019-01-01 13:00,2019-01-01 08:00,512.333
2019-01-01 14:00,2019-01-01 09:00,648.145
2019-01-01 15:00,2019-01-01 10:00,731.946
2019-01-01 16:00,2019-01-01 11:00,770.642
2019-01-01 17:00,2019-01-01 12:00,767.451
2019-01-01 18:00,2019-01-01 13:00,721.623
2019-01-01 19:00,2019-01-01 14:00,629.940
2019-01-01 20:00,2019-01-01 15:00,485.349
2019-01-01 21:00,2019-01-01 16:00,277.477
2019-01-01 22:00,2019-01-01 17:00,34.659
2019-01-01 23:00,2019-01-01 18:00,0
2019-01-02 00:00,2019-01-01 19:00,0
2019-01-02 01:00,2019-01-01 20:00,0
2019-01-02 02:00,2019-01-01 21:00,0
2019-01-02 03:00,2019-01-01 22:00,0
2019-01-02 04:00,2019-01-01 23:00,0
2019-01-02 05:00,2019-01-02 00:00,0
2019-01-02 06:00,2019-01-02 01:00,0
2019-01-02 07:00,2019-01-02 02:00,0
2019-01-02 08:00,2019-01-02 03:00,0
2019-01-02 09:00,2019-01-02 04:00,0
2019-01-02 10:00,2019-01-02 05:00,0
2019-01-02 11:00,2019-01-02 06:00,42.787
2019-01-02 12:00,2019-01-02 07:00,307.038
2019-01-02 13:00,2019-01-02 08:00,509.061
2019-01-02 14:00,2019-01-02 09:00,647.495
2019-01-02 15:00,2019-01-02 10:00,733.222
2019-01-02 16:00,2019-01-02 11:00,771.557
2019-01-02 17:00,2019-01-02 12:00,767.732
2019-01-02 18:00,2019-01-02 13:00,722.264
2019-01-02 19:00,2019-01-02 14:00,630.256
2019-01-02 20:00,2019-01-02 15:00,485.784
2019-01-02 21:00,2019-01-02 16:00,279.406
2019-01-02 22:00,2019-01-02 17:00,36.506
2019-01-02 23:00,2019-01-02 18:00,0
2019-01-03 00:00,2019-01-02 19:00,0
2019-01-03 01:00,2019-01-02 20:00,0
2019-01-03 02:00,2019-01-02 21:00,0
2019-01-03 03:00,2019-01-02 22:00,0
2019-01-03 04:00,2019-01-02 23:00,0
2019-01-03 05:00,2019-01-03 00:00,0
2019-01-03 06:00,2019-01-03 01:00,0
2019-01-03 07:00,2019-01-03 02:00,0
2019-01-03 08:00,2019-01-03 03:00,0
2019-01-03 09:00,2019-01-03 04:00,0
2019-01-03 10:00,2019-01-03 05:00,0
2019-01-03 11:00,2019-01-03 06:00,42.300
2019-01-03 12:00,2019-01-03 07:00,303.904
2019-01-03 13:00,2019-01-03 08:00,504.407
2019-01-03 14:00,2019-01-03 09:00,641.542
2019-01-03 15:00,2019-01-03 10:00,726.873
2019-01-03 16:00,2019-01-03 11:00,765.484
2019-01-03 17:00,2019-01-03 12:00,762.430
