# Renewables.ninja Wind (Point API) - 10.888, -74.831 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in America/Bogota, electricity in kW
# {"units": {"time": "UTC", "local_time": "America/Bogota", "electricity": "kW"}, "params": {"local_time": true, "header": true, "lat": "10.888268085443432", "lon": "-74.83115367789861", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1000", "height": "80", "turbine": "Vestas V90 2000", "raw": false}}
time,local_time,electricity
2019-01-01 00:00,2018-12-31 19:00,813.738
2019-01-01 01:00,2018-12-31 20:00,870.004
2019-01-01 02:00,2018-12-31 21:00,882.104
2019-01-01 03:00,2018-12-31 22:00,852.252
2019-01-01 04:00,2018-12-31 23:00,794.769
2019-01-01 05:00,2019-01-01 00:00,776.596
2019-01-01 06:00,2019-01-01 01:00,763.178
2019-01-01 07:00,2019-01-01 02:00,733.534
2019-01-01 08:00,2019-01-01 03:00,682.213
2019-01-01 09:00,2019-01-01 04:00,686.311
2019-01-01 10:00,2019-01-01 05:00,656.842
2019-01-01 11:00,2019-01-01 06:00,613.762
2019-01-01 12:00,2019-01-01 07:00,508.985
2019-01-01 13:00,2019-01-01 08:00,493.855
2019-01-01 14:00,2019-01-01 09:00,441.495
2019-01-01 15:00,2019-01-01 10:00,352.413
2019-01-01 16:00,2019-01-01 11:00,317.298
2019-01-01 17:00,2019-01-01 12:00,377.108
2019-01-01 18:00,2019-01-01 13:00,504.903
2019-01-01 19:00,2019-01-01 14:00,661.034
2019-01-01 20:00,2019-01-01 15:00,772.596
2019-01-01 21:00,2019-01-01 16:00,817.941
2019-01-01 22:00,2019-01-01 17:00,815.134
2019-01-01 23:00,2019-01-01 18:00,823.082
2019-01-02 00:00,2019-01-01 19:00,832.783
2019-01-02 01:00,2019-01-01 20:00,834.881
2019-01-02 02:00,2019-01-01 21:00,844.704
2019-01-02 03:00,2019-01-01 22:00,822.129
2019-01-02 04:00,2019-01-01 23:00,792.101
2019-01-02 05:00,2019-01-02 00:00,780.809
2019-01-02 06:00,2019-01-02 01:00,805.456
2019-01-02 07:00,2019-01-02 02:00,808.603
2019-01-02 08:00,2019-01-02 03:00,811.240
2019-01-02 09:00,2019-01-02 04:00,814.342
2019-01-02 10:00,2019-01-02 05:00,806.548
2019-01-02 11:00,2019-01-02 06:00,788.974
2019-01-02 12:00,2019-01-02 07:00,747.835
2019-01-02 13:00,2019-01-02 08:00,702.086
2019-01-02 14:00,2019-01-02 09:00,618.749
2019-01-02 15:00,2019-01-02 10:00,521.417
2019-01-02 16:00,2019-01-02 11:00,453.906
2019-01-02 17:00,2019-01-02 12:00,469.252
2019-01-02 18:00,2019-01-02 13:00,537.411
2019-01-02 19:00,2019-01-02 14:00,618.502
2019-01-02 20:00,2019-01-02 15:00,694.737
2019-01-02 21:00,2019-01-02 16:00,722.142
2019-01-02 22:00,2019-01-02 17:00,730.280
2019-01-02 23:00,2019-01-02 18:00,758.578
2019-01-03 00:00,2019-01-02 19:00,781.906
2019-01-03 01:00,2019-01-02 20:00,777.848
2019-01-03 02:00,2019-01-02 21:00,736.911
2019-01-03 03:00,2019-01-02 22:00,641.475
