# Renewables.ninja Solar PV (Point API) - 4.561, -74.047 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in America/Bogota, electricity in kW
# {"units": {"time": "UTC", "local_time": "America/Bogota", "electricity": "kW"}, "params": {"local_time": true, "header": true, "lat": "4.561377677920659", "lon": "-74.04663807937004", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1000", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": false}}
time,local_time,electricity
2019-01-01 00:00,2018-12-31 19:00,0
2019-01-01 01:00,2018-12-31 20:00,0
2019-01-01 02:00,2018-12-31 21:00,0
2019-01-01 03:00,2018-12-31 22:00,0
2019-01-01 04:00,2018-12-31 23:00,0
2019-01-01 05:00,2019-01-01 00:00,0
2019-01-01 06:00,2019-01-01 01:00,0
2019-01-01 07:00,2019-01-01 02:00,0
2019-01-01 08:00,2019-01-01 03:00,0
2019-01-01 09:00,2019-01-01 04:00,0
2019-01-01 10:00,2019-01-01 05:00,0
2019-01-01 11:00,2019-01-01 06:00,87.378
2019-01-01 12:00,2019-01-01 07:00,318.616
2019-01-01 13:00,2019-01-01 08:00,534.070
2019-01-01 14:00,2019-01-01 09:00,695.787
2019-01-01 15:00,2019-01-01 10:00,785.635
2019-01-01 16:00,2019-01-01 11:00,816.904
2019-01-01 17:00,2019-01-01 12:00,811.652
2019-01-01 18:00,2019-01-01 13:00,763.885
2019-01-01 19:00,2019-01-01 14:00,652.426
2019-01-01 20:00,2019-01-01 15:00,505.561
2019-01-01 21:00,2019-01-01 16:00,314.426
2019-01-01 22:00,2019-01-01 17:00,79.660
2019-01-01 23:00,2019-01-01 18:00,0
2019-01-02 00:00,2019-01-01 19:00,0
2019-01-02 01:00,2019-01-01 20:00,0
2019-01-02 02:00,2019-01-01 21:00,0
2019-01-02 03:00,2019-01-01 22:00,0
2019-01-02 04:00,2019-01-01 23:00,0
2019-01-02 05:00,2019-01-02 00:00,0
2019-01-02 06:00,2019-01-02 01:00,0
2019-01-02 07:00,2019-01-02 02:00,0
2019-01-02 08:00,2019-01-02 03:00,0
2019-01-02 09:00,2019-01-02 04:00,0
2019-01-02 10:00,2019-01-02 05:00,0
2019-01-02 11:00,2019-01-02 06:00,179.925
2019-01-02 12:00,2019-01-02 07:00,434.443
2019-01-02 13:00,2019-01-02 08:00,612.138
2019-01-02 14:00,2019-01-02 09:00,715.001
2019-01-02 15:00,2019-01-02 10:00,775.213
2019-01-02 16:00,2019-01-02 11:00,809.132
2019-01-02 17:00,2019-01-02 12:00,806.208
2019-01-02 18:00,2019-01-02 13:00,764.227
2019-01-02 19:00,2019-01-02 14:00,668.061
2019-01-02 20:00,2019-01-02 15:00,528.115
2019-01-02 21:00,2019-01-02 16:00,322.541
2019-01-02 22:00,2019-01-02 17:00,82.248
2019-01-02 23:00,2019-01-02 18:00,0
2019-01-03 00:00,2019-01-02 19:00,0
2019-01-03 01:00,2019-01-02 20:00,0
2019-01-03 02:00,2019-01-02 21:00,0
2019-01-03 03:00,2019-01-02 22:00,0
2019-01-03 04:00,2019-01-02 23:00,0
2019-01-03 05:00,2019-01-03 00:00,0
2019-01-03 06:00,2019-01-03 01:00,0
2019-01-03 07:00,2019-01-03 02:00,0
2019-01-03 08:00,2019-01-03 03:00,0
2019-01-03 09:00,2019-01-03 04:00,0
2019-01-03 10:00,2019-01-03 05:00,0
2019-01-03 11:00,2019-01-03 06:00,73.860
2019-01-03 12:00,2019-01-03 07:00,250.401
2019-01-03 13:00,2019-01-03 08:00,427.835
2019-01-03 14:00,2019-01-03 09:00,576.668
2019-01-03 15:00,2019-01-03 10:00,698.595
2019-01-03 16:00,2019-01-03 11:00,704.143
2019-01-03 17:00,2019-01-03 12:00,705.125
