# Renewables.ninja Wind (Point API) - 4.561, -74.047 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in America/Bogota, electricity in kW
# {"units": {"time": "UTC", "local_time": "America/Bogota", "electricity": "kW"}, "params": {"local_time": true, "header": true, "lat": "4.561377677920659", "lon": "-74.04663807937004", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1000", "height": "80", "turbine": "Vestas V90 2000", "raw": false}}
time,local_time,electricity
2019-01-01 00:00,2018-12-31 19:00,89.943
2019-01-01 01:00,2018-12-31 20:00,100.322
2019-01-01 02:00,2018-12-31 21:00,104.271
2019-01-01 03:00,2018-12-31 22:00,102.436
2019-01-01 04:00,2018-12-31 23:00,105.006
2019-01-01 05:00,2019-01-01 00:00,94.949
2019-01-01 06:00,2019-01-01 01:00,92.128
2019-01-01 07:00,2019-01-01 02:00,101.678
2019-01-01 08:00,2019-01-01 03:00,105.421
2019-01-01 09:00,2019-01-01 04:00,104.494
2019-01-01 10:00,2019-01-01 05:00,111.112
2019-01-01 11:00,2019-01-01 06:00,111.844
2019-01-01 12:00,2019-01-01 07:00,218.517
2019-01-01 13:00,2019-01-01 08:00,343.258
2019-01-01 14:00,2019-01-01 09:00,379.745
2019-01-01 15:00,2019-01-01 10:00,412.855
2019-01-01 16:00,2019-01-01 11:00,432.381
2019-01-01 17:00,2019-01-01 12:00,438.235
2019-01-01 18:00,2019-01-01 13:00,450.376
2019-01-01 19:00,2019-01-01 14:00,440.458
2019-01-01 20:00,2019-01-01 15:00,412.736
2019-01-01 21:00,2019-01-01 16:00,389.927
2019-01-01 22:00,2019-01-01 17:00,271.252
2019-01-01 23:00,2019-01-01 18:00,185.062
2019-01-02 00:00,2019-01-01 19:00,227.390
2019-01-02 01:00,2019-01-01 20:00,213.057
2019-01-02 02:00,2019-01-01 21:00,213.019
2019-01-02 03:00,2019-01-01 22:00,223.022
2019-01-02 04:00,2019-01-01 23:00,168.200
2019-01-02 05:00,2019-01-02 00:00,128.435
2019-01-02 06:00,2019-01-02 01:00,110.398
2019-01-02 07:00,2019-01-02 02:00,111.339
2019-01-02 08:00,2019-01-02 03:00,121.063
2019-01-02 09:00,2019-01-02 04:00,136.140
2019-01-02 10:00,2019-01-02 05:00,154.359
2019-01-02 11:00,2019-01-02 06:00,154.567
2019-01-02 12:00,2019-01-02 07:00,180.729
2019-01-02 13:00,2019-01-02 08:00,392.472
2019-01-02 14:00,2019-01-02 09:00,459.413
2019-01-02 15:00,2019-01-02 10:00,455.883
2019-01-02 16:00,2019-01-02 11:00,418.327
2019-01-02 17:00,2019-01-02 12:00,388.324
2019-01-02 18:00,2019-01-02 13:00,361.636
2019-01-02 19:00,2019-01-02 14:00,327.740
2019-01-02 20:00,2019-01-02 15:00,295.371
2019-01-02 21:00,2019-01-02 16:00,256.391
2019-01-02 22:00,2019-01-02 17:00,166.817
2019-01-02 23:00,2019-01-02 18:00,112.474
2019-01-03 00:00,2019-01-02 19:00,99.443
2019-01-03 01:00,2019-01-02 20:00,89.439
2019-01-03 02:00,2019-01-02 21:00,68.724
2019-01-03 03:00,2019-01-02 22:00,50.595
2019-01-03 04:00,2019-01-02 23:00,46.809
2019-01-03 05:00,2019-01-03 00:00,41.245
2019-01-03 06:00,2019-01-03 01:00,46.132
2019-01-03 07:00,2019-01-03 02:00,50.613
2019-01-03 08:00,2019-01-03 03:00,60.370
2019-01-03 09:00,2019-01-03 04:00,58.385
2019-01-03 10:00,2019-01-03 05:00,54.434
2019-01-03 11:00,2019-01-03 06:00,46.132
2019-01-03 12:00,2019-01-03 07:00,79.568
2019-01-03 13:00,2019-01-03 08:00,162.008
2019-01-03 14:00,2019-01-03 09:00,218.267
2019-01-03 15:00,2019-01-03 10:00,247.748
2019-01-03 16:00,2019-01-03 11:00,242.982
2019-01-03 17:00,2019-01-03 12:00,219.809
2019-01-03 18:00,2019-01-03 13:00,207.706
2019-01-03 19:00,2019-01-03 14:00,193.391
2019-01-03 20:00,2019-01-03 15:00,169.772
2019-01-03 21:00,2019-01-03 16:00,143.527
2019-01-03 22:00,2019-01-03 17:00,76.726
2019-01-03 23:00,2019-01-03 18:00,39.995
2019-01-04 00:00,2019-01-03 19:00,30.387
2019-01-04 01:00,2019-01-03 20:00,21.963
2019-01-04 02:00,2019-01-03 21:00,12.112
2019-01-04 03:00,2019-01-03 22:00,12.921
2019-01-04 04:00,2019-01-03 23:00,28.210
2019-01-04 05:00,2019-01-04 00:00,26.456
2019-01-04 06:00,2019-01-04 01:00,18.690
2019-01-04 07:00,2019-01-04 02:00,14.719
2019-01-04 08:00,2019-01-04 03:00,17.945
2019-01-04 09:00,2019-01-04 04:00,16.952
2019-01-04 10:00,2019-01-04 05:00,13.115
