# Renewables.ninja Solar PV (Point API) - 3.419, -76.505 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in America/Bogota, electricity in kW
# {"units": {"time": "UTC", "local_time": "America/Bogota", "electricity": "kW"}, "params": {"local_time": true, "header": true, "lat": "3.4189431984006573", "lon": "-76.50545272748751", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1000", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": false}}
time,local_time,electricity
2019-01-01 00:00,2018-12-31 19:00,0
2019-01-01 01:00,2018-12-31 20:00,0
2019-01-01 02:00,2018-12-31 21:00,0
2019-01-01 03:00,2018-12-31 22:00,0
2019-01-01 04:00,2018-12-31 23:00,0
2019-01-01 05:00,2019-01-01 00:00,0
2019-01-01 06:00,2019-01-01 01:00,0
2019-01-01 07:00,2019-01-01 02:00,0
2019-01-01 08:00,2019-01-01 03:00,0
2019-01-01 09:00,2019-01-01 04:00,0
2019-01-01 10:00,2019-01-01 05:00,0
2019-01-01 11:00,2019-01-01 06:00,57.142
2019-01-01 12:00,2019-01-01 07:00,283.008
2019-01-01 13:00,2019-01-01 08:00,516.595
2019-01-01 14:00,2019-01-01 09:00,646.525
2019-01-01 15:00,2019-01-01 10:00,732.508
2019-01-01 16:00,2019-01-01 11:00,722.893
2019-01-01 17:00,2019-01-01 12:00,747.393
2019-01-01 18:00,2019-01-01 13:00,608.241
2019-01-01 19:00,2019-01-01 14:00,527.499
2019-01-01 20:00,2019-01-01 15:00,417.677
2019-01-01 21:00,2019-01-01 16:00,254.654
2019-01-01 22:00,2019-01-01 17:00,72.939
2019-01-01 23:00,2019-01-01 18:00,0
2019-01-02 00:00,2019-01-01 19:00,0
2019-01-02 01:00,2019-01-01 20:00,0
2019-01-02 02:00,2019-01-01 21:00,0
2019-01-02 03:00,2019-01-01 22:00,0
2019-01-02 04:00,2019-01-01 23:00,0
2019-01-02 05:00,2019-01-02 00:00,0
2019-01-02 06:00,2019-01-02 01:00,0
2019-01-02 07:00,2019-01-02 02:00,0
2019-01-02 08:00,2019-01-02 03:00,0
2019-01-02 09:00,2019-01-02 04:00,0
2019-01-02 10:00,2019-01-02 05:00,0
2019-01-02 11:00,2019-01-02 06:00,96.177
2019-01-02 12:00,2019-01-02 07:00,362.012
2019-01-02 13:00,2019-01-02 08:00,555.694
2019-01-02 14:00,2019-01-02 09:00,683.562
2019-01-02 15:00,2019-01-02 10:00,759.031
2019-01-02 16:00,2019-01-02 11:00,794.192
2019-01-02 17:00,2019-01-02 12:00,775.207
2019-01-02 18:00,2019-01-02 13:00,709.534
2019-01-02 19:00,2019-01-02 14:00,628.410
2019-01-02 20:00,2019-01-02 15:00,455.185
2019-01-02 21:00,2019-01-02 16:00,279.867
2019-01-02 22:00,2019-01-02 17:00,66.906
2019-01-02 23:00,2019-01-02 18:00,0
2019-01-03 00:00,2019-01-02 19:00,0
2019-01-03 01:00,2019-01-02 20:00,0
2019-01-03 02:00,2019-01-02 21:00,0
2019-01-03 03:00,2019-01-02 22:00,0
2019-01-03 04:00,2019-01-02 23:00,0
2019-01-03 05:00,2019-01-03 00:00,0
2019-01-03 06:00,2019-01-03 01:00,0
2019-01-03 07:00,2019-01-03 02:00,0
2019-01-03 08:00,2019-01-03 03:00,0
2019-01-03 09:00,2019-01-03 04:00,0
2019-01-03 10:00,2019-01-03 05:00,0
2019-01-03 11:00,2019-01-03 06:00,40.109
2019-01-03 12:00,2019-01-03 07:00,229.112
2019-01-03 13:00,2019-01-03 08:00,403.451
2019-01-03 14:00,2019-01-03 09:00,532.437
2019-01-03 15:00,2019-01-03 10:00,607.395
2019-01-03 16:00,2019-01-03 11:00,624.192
2019-01-03 17:00,2019-01-03 12:00,603.138
