# Renewables.ninja Wind (Point API) - 3.419, -76.510 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in America/Bogota, electricity in kW
# {"units": {"time": "UTC", "local_time": "America/Bogota", "electricity": "kW"}, "params": {"local_time": true, "header": true, "lat": "3.419435047584758", "lon": "-76.50987777874597", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1000", "height": "80", "turbine": "Vestas V90 2000", "raw": false}}
time,local_time,electricity
2019-01-01 00:00,2018-12-31 19:00,86.819
2019-01-01 01:00,2018-12-31 20:00,77.749
2019-01-01 02:00,2018-12-31 21:00,72.388
2019-01-01 03:00,2018-12-31 22:00,71.489
2019-01-01 04:00,2018-12-31 23:00,77.339
2019-01-01 05:00,2019-01-01 00:00,93.994
2019-01-01 06:00,2019-01-01 01:00,100.412
2019-01-01 07:00,2019-01-01 02:00,102.175
2019-01-01 08:00,2019-01-01 03:00,117.084
2019-01-01 09:00,2019-01-01 04:00,113.279
2019-01-01 10:00,2019-01-01 05:00,101.245
2019-01-01 11:00,2019-01-01 06:00,90.043
2019-01-01 12:00,2019-01-01 07:00,134.458
2019-01-01 13:00,2019-01-01 08:00,167.380
2019-01-01 14:00,2019-01-01 09:00,187.534
2019-01-01 15:00,2019-01-01 10:00,206.044
2019-01-01 16:00,2019-01-01 11:00,230.726
2019-01-01 17:00,2019-01-01 12:00,242.988
2019-01-01 18:00,2019-01-01 13:00,309.609
2019-01-01 19:00,2019-01-01 14:00,313.884
2019-01-01 20:00,2019-01-01 15:00,305.315
2019-01-01 21:00,2019-01-01 16:00,274.431
2019-01-01 22:00,2019-01-01 17:00,198.093
2019-01-01 23:00,2019-01-01 18:00,136.176
2019-01-02 00:00,2019-01-01 19:00,113.428
2019-01-02 01:00,2019-01-01 20:00,130.069
2019-01-02 02:00,2019-01-01 21:00,165.138
2019-01-02 03:00,2019-01-01 22:00,176.172
2019-01-02 04:00,2019-01-01 23:00,171.362
2019-01-02 05:00,2019-01-02 00:00,148.743
2019-01-02 06:00,2019-01-02 01:00,154.586
2019-01-02 07:00,2019-01-02 02:00,180.326
2019-01-02 08:00,2019-01-02 03:00,193.547
2019-01-02 09:00,2019-01-02 04:00,178.865
2019-01-02 10:00,2019-01-02 05:00,152.344
2019-01-02 11:00,2019-01-02 06:00,140.494
2019-01-02 12:00,2019-01-02 07:00,137.914
2019-01-02 13:00,2019-01-02 08:00,325.163
2019-01-02 14:00,2019-01-02 09:00,412.759
2019-01-02 15:00,2019-01-02 10:00,447.023
2019-01-02 16:00,2019-01-02 11:00,450.154
2019-01-02 17:00,2019-01-02 12:00,412.742
2019-01-02 18:00,2019-01-02 13:00,379.822
2019-01-02 19:00,2019-01-02 14:00,343.217
2019-01-02 20:00,2019-01-02 15:00,293.807
2019-01-02 21:00,2019-01-02 16:00,262.258
2019-01-02 22:00,2019-01-02 17:00,184.983
2019-01-02 23:00,2019-01-02 18:00,103.702
2019-01-03 00:00,2019-01-02 19:00,71.803
2019-01-03 01:00,2019-01-02 20:00,56.713
2019-01-03 02:00,2019-01-02 21:00,49.973
2019-01-03 03:00,2019-01-02 22:00,57.704
2019-01-03 04:00,2019-01-02 23:00,65.250
2019-01-03 05:00,2019-01-03 00:00,62.675
2019-01-03 06:00,2019-01-03 01:00,59.982
2019-01-03 07:00,2019-01-03 02:00,57.794
2019-01-03 08:00,2019-01-03 03:00,53.644
2019-01-03 09:00,2019-01-03 04:00,58.320
2019-01-03 10:00,2019-01-03 05:00,57.926
2019-01-03 11:00,2019-01-03 06:00,50.394
2019-01-03 12:00,2019-01-03 07:00,54.847
2019-01-03 13:00,2019-01-03 08:00,103.822
2019-01-03 14:00,2019-01-03 09:00,148.672
2019-01-03 15:00,2019-01-03 10:00,186.638
2019-01-03 16:00,2019-01-03 11:00,230.375
2019-01-03 17:00,2019-01-03 12:00,252.264
2019-01-03 18:00,2019-01-03 13:00,251.069
2019-01-03 19:00,2019-01-03 14:00,239.180
2019-01-03 20:00,2019-01-03 15:00,228.526
2019-01-03 21:00,2019-01-03 16:00,202.931
2019-01-03 22:00,2019-01-03 17:00,129.638
2019-01-03 23:00,2019-01-03 18:00,80.423
2019-01-04 00:00,2019-01-03 19:00,61.375
2019-01-04 01:00,2019-01-03 20:00,53.464
2019-01-04 02:00,2019-01-03 21:00,49.173
2019-01-04 03:00,2019-01-03 22:00,49.962
2019-01-04 04:00,2019-01-03 23:00,50.029
