# Renewables.ninja Solar PV (Point API) - 10.399, -75.524 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in America/Bogota, electricity in kW
# {"units": {"time": "UTC", "local_time": "America/Bogota", "electricity": "kW"}, "params": {"local_time": true, "header": true, "lat": "10.398916715224527", "lon": "-75.52405028229052", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1000", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": false}}
time,local_time,electricity
2019-01-01 00:00,2018-12-31 19:00,0
2019-01-01 01:00,2018-12-31 20:00,0
2019-01-01 02:00,2018-12-31 21:00,0
2019-01-01 03:00,2018-12-31 22:00,0
2019-01-01 04:00,2018-12-31 23:00,0
2019-01-01 05:00,2019-01-01 00:00,0
2019-01-01 06:00,2019-01-01 01:00,0
2019-01-01 07:00,2019-01-01 02:00,0
2019-01-01 08:00,2019-01-01 03:00,0
2019-01-01 09:00,2019-01-01 04:00,0
2019-01-01 10:00,2019-01-01 05:00,0
2019-01-01 11:00,2019-01-01 06:00,36.678
2019-01-01 12:00,2019-01-01 07:00,295.948
2019-01-01 13:00,2019-01-01 08:00,497.564
2019-01-01 14:00,2019-01-01 09:00,636.663
2019-01-01 15:00,2019-01-01 10:00,724.653
2019-01-01 16:00,2019-01-01 11:00,765.370
2019-01-01 17:00,2019-01-01 12:00,763.860
2019-01-01 18:00,2019-01-01 13:00,720.601
2019-01-01 19:00,2019-01-01 14:00,631.654
2019-01-01 20:00,2019-01-01 15:00,490.996
2019-01-01 21:00,2019-01-01 16:00,288.884
2019-01-01 22:00,2019-01-01 17:00,46.426
2019-01-01 23:00,2019-01-01 18:00,0
2019-01-02 00:00,2019-01-01 19:00,0
2019-01-02 01:00,2019-01-01 20:00,0
2019-01-02 02:00,2019-01-01 21:00,0
2019-01-02 03:00,2019-01-01 22:00,0
2019-01-02 04:00,2019-01-01 23:00,0
2019-01-02 05:00,2019-01-02 00:00,0
2019-01-02 06:00,2019-01-02 01:00,0
2019-01-02 07:00,2019-01-02 02:00,0
2019-01-02 08:00,2019-01-02 03:00,0
2019-01-02 09:00,2019-01-02 04:00,0
2019-01-02 10:00,2019-01-02 05:00,0
2019-01-02 11:00,2019-01-02 06:00,32.554
2019-01-02 12:00,2019-01-02 07:00,285.776
2019-01-02 13:00,2019-01-02 08:00,491.892
2019-01-02 14:00,2019-01-02 09:00,635.177
2019-01-02 15:00,2019-01-02 10:00,725.867
2019-01-02 16:00,2019-01-02 11:00,767.429
2019-01-02 17:00,2019-01-02 12:00,766.054
2019-01-02 18:00,2019-01-02 13:00,722.239
2019-01-02 19:00,2019-01-02 14:00,631.328
2019-01-02 20:00,2019-01-02 15:00,488.711
2019-01-02 21:00,2019-01-02 16:00,286.016
2019-01-02 22:00,2019-01-02 17:00,46.528
2019-01-02 23:00,2019-01-02 18:00,0
2019-01-03 00:00,2019-01-02 19:00,0
2019-01-03 01:00,2019-01-02 20:00,0
2019-01-03 02:00,2019-01-02 21:00,0
2019-01-03 03:00,2019-01-02 22:00,0
2019-01-03 04:00,2019-01-02 23:00,0
2019-01-03 05:00,2019-01-03 00:00,0
2019-01-03 06:00,2019-01-03 01:00,0
2019-01-03 07:00,2019-01-03 02:00,0
2019-01-03 08:00,2019-01-03 03:00,0
2019-01-03 09:00,2019-01-03 04:00,0
2019-01-03 10:00,2019-01-03 05:00,0
2019-01-03 11:00,2019-01-03 06:00,35.221
2019-01-03 12:00,2019-01-03 07:00,292.472
2019-01-03 13:00,2019-01-03 08:00,493.906
2019-01-03 14:00,2019-01-03 09:00,634.026
2019-01-03 15:00,2019-01-03 10:00,722.540
2019-01-03 16:00,2019-01-03 11:00,763.332
2019-01-03 17:00,2019-01-03 12:00,761.149
