# Renewables.ninja Wind (Point API) - 10.405, -75.518 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in America/Bogota, electricity in kW
# {"units": {"time": "UTC", "local_time": "America/Bogota", "electricity": "kW"}, "params": {"local_time": true, "header": true, "lat": "10.405184722404554", "lon": "-75.51767753914784", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1000", "height": "80", "turbine": "Vestas V90 2000", "raw": false}}
time,local_time,electricity
2019-01-01 00:00,2018-12-31 19:00,811.139
2019-01-01 01:00,2018-12-31 20:00,820.403
2019-01-01 02:00,2018-12-31 21:00,823.396
2019-01-01 03:00,2018-12-31 22:00,809.288
2019-01-01 04:00,2018-12-31 23:00,779.891
2019-01-01 05:00,2019-01-01 00:00,745.907
2019-01-01 06:00,2019-01-01 01:00,689.952
2019-01-01 07:00,2019-01-01 02:00,597.423
2019-01-01 08:00,2019-01-01 03:00,482.684
2019-01-01 09:00,2019-01-01 04:00,400.491
2019-01-01 10:00,2019-01-01 05:00,361.314
2019-01-01 11:00,2019-01-01 06:00,344.779
2019-01-01 12:00,2019-01-01 07:00,282.183
2019-01-01 13:00,2019-01-01 08:00,296.489
2019-01-01 14:00,2019-01-01 09:00,285.580
2019-01-01 15:00,2019-01-01 10:00,209.636
2019-01-01 16:00,2019-01-01 11:00,137.186
2019-01-01 17:00,2019-01-01 12:00,117.312
2019-01-01 18:00,2019-01-01 13:00,156.356
2019-01-01 19:00,2019-01-01 14:00,267.930
2019-01-01 20:00,2019-01-01 15:00,453.896
2019-01-01 21:00,2019-01-01 16:00,660.174
2019-01-01 22:00,2019-01-01 17:00,759.463
2019-01-01 23:00,2019-01-01 18:00,774.327
2019-01-02 00:00,2019-01-01 19:00,774.900
2019-01-02 01:00,2019-01-01 20:00,738.617
2019-01-02 02:00,2019-01-01 21:00,697.468
2019-01-02 03:00,2019-01-01 22:00,685.803
2019-01-02 04:00,2019-01-01 23:00,687.484
2019-01-02 05:00,2019-01-02 00:00,709.574
2019-01-02 06:00,2019-01-02 01:00,734.698
2019-01-02 07:00,2019-01-02 02:00,752.991
2019-01-02 08:00,2019-01-02 03:00,765.980
2019-01-02 09:00,2019-01-02 04:00,750.088
2019-01-02 10:00,2019-01-02 05:00,710.670
2019-01-02 11:00,2019-01-02 06:00,660.591
