# Renewables.ninja Solar PV (Point API) - 6.238, -75.556 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in America/Bogota, electricity in kW
# {"units": {"time": "UTC", "local_time": "America/Bogota", "electricity": "kW"}, "params": {"local_time": true, "header": true, "lat": "6.2381109881627435", "lon": "-75.55591399802832", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1000", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": false}}
time,local_time,electricity
2019-01-01 00:00,2018-12-31 19:00,0
2019-01-01 01:00,2018-12-31 20:00,0
2019-01-01 02:00,2018-12-31 21:00,0
2019-01-01 03:00,2018-12-31 22:00,0
2019-01-01 04:00,2018-12-31 23:00,0
2019-01-01 05:00,2019-01-01 00:00,0
2019-01-01 06:00,2019-01-01 01:00,0
2019-01-01 07:00,2019-01-01 02:00,0
2019-01-01 08:00,2019-01-01 03:00,0
2019-01-01 09:00,2019-01-01 04:00,0
2019-01-01 10:00,2019-01-01 05:00,0
2019-01-01 11:00,2019-01-01 06:00,80.754
2019-01-01 12:00,2019-01-01 07:00,356.673
2019-01-01 13:00,2019-01-01 08:00,580.968
2019-01-01 14:00,2019-01-01 09:00,715.523
2019-01-01 15:00,2019-01-01 10:00,799.967
2019-01-01 16:00,2019-01-01 11:00,839.364
2019-01-01 17:00,2019-01-01 12:00,835.741
2019-01-01 18:00,2019-01-01 13:00,790.574
2019-01-01 19:00,2019-01-01 14:00,700.958
2019-01-01 20:00,2019-01-01 15:00,562.228
2019-01-01 21:00,2019-01-01 16:00,361.574
2019-01-01 22:00,2019-01-01 17:00,118.377
2019-01-01 23:00,2019-01-01 18:00,0
2019-01-02 00:00,2019-01-01 19:00,0
2019-01-02 01:00,2019-01-01 20:00,0
2019-01-02 02:00,2019-01-01 21:00,0
2019-01-02 03:00,2019-01-01 22:00,0
2019-01-02 04:00,2019-01-01 23:00,0
2019-01-02 05:00,2019-01-02 00:00,0
2019-01-02 06:00,2019-01-02 01:00,0
2019-01-02 07:00,2019-01-02 02:00,0
2019-01-02 08:00,2019-01-02 03:00,0
2019-01-02 09:00,2019-01-02 04:00,0
2019-01-02 10:00,2019-01-02 05:00,0
2019-01-02 11:00,2019-01-02 06:00,91.207
2019-01-02 12:00,2019-01-02 07:00,373.677
2019-01-02 13:00,2019-01-02 08:00,587.475
2019-01-02 14:00,2019-01-02 09:00,720.476
2019-01-02 15:00,2019-01-02 10:00,804.595
2019-01-02 16:00,2019-01-02 11:00,844.796
2019-01-02 17:00,2019-01-02 12:00,843.501
2019-01-02 18:00,2019-01-02 13:00,800.503
2019-01-02 19:00,2019-01-02 14:00,713.187
2019-01-02 20:00,2019-01-02 15:00,578.174
2019-01-02 21:00,2019-01-02 16:00,385.430
2019-01-02 22:00,2019-01-02 17:00,131.803
2019-01-02 23:00,2019-01-02 18:00,0
2019-01-03 00:00,2019-01-02 19:00,0
2019-01-03 01:00,2019-01-02 20:00,0
2019-01-03 02:00,2019-01-02 21:00,0
2019-01-03 03:00,2019-01-02 22:00,0
2019-01-03 04:00,2019-01-02 23:00,0
2019-01-03 05:00,2019-01-03 00:00,0
2019-01-03 06:00,2019-01-03 01:00,0
2019-01-03 07:00,2019-01-03 02:00,0
2019-01-03 08:00,2019-01-03 03:00,0
2019-01-03 09:00,2019-01-03 04:00,0
2019-01-03 10:00,2019-01-03 05:00,0
2019-01-03 11:00,2019-01-03 06:00,86.043
2019-01-03 12:00,2019-01-03 07:00,371.075
2019-01-03 13:00,2019-01-03 08:00,569.570
2019-01-03 14:00,2019-01-03 09:00,708.858
2019-01-03 15:00,2019-01-03 10:00,794.517
2019-01-03 16:00,2019-01-03 11:00,837.340
2019-01-03 17:00,2019-01-03 12:00,827.893
