# Renewables.ninja Wind (Point API) - 6.235, -75.553 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in America/Bogota, electricity in kW
# {"units": {"time": "UTC", "local_time": "America/Bogota", "electricity": "kW"}, "params": {"local_time": true, "header": true, "lat": "6.234966213746225", "lon": "-75.55340613368388", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1000", "height": "80", "turbine": "Vestas V90 2000", "raw": false}}
time,local_time,electricity
2019-01-01 00:00,2018-12-31 19:00,49.352
2019-01-01 01:00,2018-12-31 20:00,61.983
2019-01-01 02:00,2018-12-31 21:00,79.925
2019-01-01 03:00,2018-12-31 22:00,84.067
2019-01-01 04:00,2018-12-31 23:00,75.978
2019-01-01 05:00,2019-01-01 00:00,54.581
2019-01-01 06:00,2019-01-01 01:00,34.993
2019-01-01 07:00,2019-01-01 02:00,31.095
2019-01-01 08:00,2019-01-01 03:00,27.055
2019-01-01 09:00,2019-01-01 04:00,22.301
2019-01-01 10:00,2019-01-01 05:00,13.529
2019-01-01 11:00,2019-01-01 06:00,9.866
2019-01-01 12:00,2019-01-01 07:00,5.563
2019-01-01 13:00,2019-01-01 08:00,19.861
2019-01-01 14:00,2019-01-01 09:00,30.642
2019-01-01 15:00,2019-01-01 10:00,40.191
2019-01-01 16:00,2019-01-01 11:00,50.496
2019-01-01 17:00,2019-01-01 12:00,49.633
2019-01-01 18:00,2019-01-01 13:00,36.392
2019-01-01 19:00,2019-01-01 14:00,20.607
2019-01-01 20:00,2019-01-01 15:00,9.693
2019-01-01 21:00,2019-01-01 16:00,2.687
2019-01-01 22:00,2019-01-01 17:00,4.022
2019-01-01 23:00,2019-01-01 18:00,4.449
2019-01-02 00:00,2019-01-01 19:00,6.515
2019-01-02 01:00,2019-01-01 20:00,17.989
2019-01-02 02:00,2019-01-01 21:00,36.022
2019-01-02 03:00,2019-01-01 22:00,43.152
2019-01-02 04:00,2019-01-01 23:00,44.912
2019-01-02 05:00,2019-01-02 00:00,27.810
2019-01-02 06:00,2019-01-02 01:00,15.036
2019-01-02 07:00,2019-01-02 02:00,13.407
2019-01-02 08:00,2019-01-02 03:00,14.437
2019-01-02 09:00,2019-01-02 04:00,13.648
2019-01-02 10:00,2019-01-02 05:00,10.210
2019-01-02 11:00,2019-01-02 06:00,6.200
2019-01-02 12:00,2019-01-02 07:00,3.092
2019-01-02 13:00,2019-01-02 08:00,9.047
2019-01-02 14:00,2019-01-02 09:00,21.125
2019-01-02 15:00,2019-01-02 10:00,36.640
2019-01-02 16:00,2019-01-02 11:00,46.827
2019-01-02 17:00,2019-01-02 12:00,44.174
2019-01-02 18:00,2019-01-02 13:00,32.237
2019-01-02 19:00,2019-01-02 14:00,19.628
2019-01-02 20:00,2019-01-02 15:00,7.888
2019-01-02 21:00,2019-01-02 16:00,1.428
2019-01-02 22:00,2019-01-02 17:00,2.286
2019-01-02 23:00,2019-01-02 18:00,1.657
2019-01-03 00:00,2019-01-02 19:00,0.594
2019-01-03 01:00,2019-01-02 20:00,0.303
2019-01-03 02:00,2019-01-02 21:00,0.306
2019-01-03 03:00,2019-01-02 22:00,1.906
2019-01-03 04:00,2019-01-02 23:00,7.955
2019-01-03 05:00,2019-01-03 00:00,14.816
2019-01-03 06:00,2019-01-03 01:00,19.651
2019-01-03 07:00,2019-01-03 02:00,20.970
2019-01-03 08:00,2019-01-03 03:00,22.837
2019-01-03 09:00,2019-01-03 04:00,16.400
2019-01-03 10:00,2019-01-03 05:00,9.224
2019-01-03 11:00,2019-01-03 06:00,7.260
2019-01-03 12:00,2019-01-03 07:00,4.593
2019-01-03 13:00,2019-01-03 08:00,19.185
2019-01-03 14:00,2019-01-03 09:00,31.028
2019-01-03 15:00,2019-01-03 10:00,39.844
2019-01-03 16:00,2019-01-03 11:00,48.459
2019-01-03 17:00,2019-01-03 12:00,45.607
2019-01-03 18:00,2019-01-03 13:00,34.042
2019-01-03 19:00,2019-01-03 14:00,25.027
2019-01-03 20:00,2019-01-03 15:00,17.980
2019-01-03 21:00,2019-01-03 16:00,7.545
2019-01-03 22:00,2019-01-03 17:00,9.006
2019-01-03 23:00,2019-01-03 18:00,16.506
2019-01-04 00:00,2019-01-03 19:00,19.074
2019-01-04 01:00,2019-01-03 20:00,21.444
2019-01-04 02:00,2019-01-03 21:00,44.942
2019-01-04 03:00,2019-01-03 22:00,76.440
2019-01-04 04:00,2019-01-03 23:00,87.603
2019-01-04 05:00,2019-01-04 00:00,76.457
2019-01-04 06:00,2019-01-04 01:00,61.086
2019-01-04 07:00,2019-01-04 02:00,46.774
2019-01-04 08:00,2019-01-04 03:00,47.537
2019-01-04 09:00,2019-01-04 04:00,39.933
2019-01-04 10:00,2019-01-04 05:00,30.902
2019-01-04 11:00,2019-01-04 06:00,20.045
2019-01-04 12:00,2019-01-04 07:00,11.051
2019-01-04 13:00,2019-01-04 08:00,17.848
2019-01-04 14:00,2019-01-04 09:00,29.154
2019-01-04 15:00,2019-01-04 10:00,48.388
2019-01-04 16:00,2019-01-04 11:00,61.289
2019-01-04 17:00,2019-01-04 12:00,62.223
2019-01-04 18:00,2019-01-04 13:00,51.190
2019-01-04 19:00,2019-01-04 14:00,36.837
2019-01-04 20:00,2019-01-04 15:00,23.041
2019-01-04 21:00,2019-01-04 16:00,7.102
2019-01-04 22:00,2019-01-04 17:00,5.893
2019-01-04 23:00,2019-01-04 18:00,8.441
2019-01-05 00:00,2019-01-04 19:00,6.807
2019-01-05 01:00,2019-01-04 20:00,8.169
2019-01-05 02:00,2019-01-04 21:00,11.385
2019-01-05 03:00,2019-01-04 22:00,17.386
2019-01-05 04:00,2019-01-04 23:00,24.655
2019-01-05 05:00,2019-01-05 00:00,29.956
2019-01-05 06:00,2019-01-05 01:00,33.237
2019-01-05 07:00,2019-01-05 02:00,30.467
