Baq_Solar,Bog_Solar,Cali_Solar,Ctg_Solar,Med_Solar,StM_Solar,Baq_Wind,Bog_Wind,Cali_Wind,Ctg_Wind,Med_Wind,StM_Wind
0,0,0,0,0,0,97.4151,0.00135,13.1784,104.7219,1.25715,104.36325
0,0,0,0,0,0,93.4215,0,22.25835,101.10555,1.25355,102.5805
0,0,0,0,0,0,87.84075,0,25.30905,98.5263,0.74775,99.6939
0,0,0,0,0,0,83.46645,0.00015,16.84665,100.28985,0.37425,95.9421
0,0,0,0,0,0,75.64995,0.00015,6.1434,102.4575,0.3573,86.5761
0,0,0,0,0,0,67.05135,0,0.53505,97.3815,0.52245,76.95885
1.4007,1.746,0.56205,1.86015,0.27975,1.4793,57.61425,0,0.0645,85.66635,0.69,68.91285
20.112,14.90775,8.9049,23.62635,5.2635,19.7412,47.49615,0,0.0126,70.8327,0.53325,62.22255
49.6593,37.6614,26.6823,54.0264,14.325,51.45975,41.56155,0.0045,0.00495,55.87425,0.12255,56.03865
79.1448,57.19155,56.4231,79.33965,26.2509,81.5871,28.13085,0.0639,0.0006,34.94295,0.63015,44.46345
98.20245,71.3679,77.7705,94.4337,37.32345,101.6766,15.64455,0.24345,0.0579,14.1171,1.3014,34.11315
106.08705,74.58735,91.6845,101.4927,46.96665,112.9953,10.4316,0.49035,2.2728,3.2364,0.98865,30.12465
105.25185,70.94685,88.44825,100.4808,47.925,112.97175,13.66485,0.7419,6.981,1.6236,0.72615,33.45405
97.11615,58.7538,72.6015,90.8508,42.05205,104.8878,21.88365,0.771,11.1486,3.0276,0.50895,38.14575
74.86665,42.2997,54.55215,71.5272,32.976,88.4442,34.2759,0.67695,12.0639,7.941,0.20535,43.7646
52.06005,28.4556,34.0887,48.7989,21.40725,65.2263,44.7069,0.4647,11.4288,15.3633,0.01845,51.68955
25.6116,12.73635,17.69805,21.5991,10.014,32.55255,57.6471,0.28485,10.272,26.9784,0.0009,64.0128
2.7474,1.6992,3.33165,2.85855,1.0497,2.98215,62.90775,0.10755,8.46525,41.16045,0.00375,72.1533
