# Renewables.ninja Solar PV (Point API) - 11.231, -74.205 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in America/Bogota, electricity in kW
# {"units": {"time": "UTC", "local_time": "America/Bogota", "electricity": "kW"}, "params": {"local_time": true, "header": true, "lat": "11.231428728730213", "lon": "-74.20489245008474", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1000", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": false}}
time,local_time,electricity
2019-01-01 00:00,2018-12-31 19:00,0
2019-01-01 01:00,2018-12-31 20:00,0
2019-01-01 02:00,2018-12-31 21:00,0
2019-01-01 03:00,2018-12-31 22:00,0
2019-01-01 04:00,2018-12-31 23:00,0
2019-01-01 05:00,2019-01-01 00:00,0
2019-01-01 06:00,2019-01-01 01:00,0
2019-01-01 07:00,2019-01-01 02:00,0
2019-01-01 08:00,2019-01-01 03:00,0
2019-01-01 09:00,2019-01-01 04:00,0
2019-01-01 10:00,2019-01-01 05:00,0
2019-01-01 11:00,2019-01-01 06:00,53.733
2019-01-01 12:00,2019-01-01 07:00,327.640
2019-01-01 13:00,2019-01-01 08:00,528.035
2019-01-01 14:00,2019-01-01 09:00,666.374
2019-01-01 15:00,2019-01-01 10:00,752.734
2019-01-01 16:00,2019-01-01 11:00,791.855
2019-01-01 17:00,2019-01-01 12:00,786.598
2019-01-01 18:00,2019-01-01 13:00,737.112
2019-01-01 19:00,2019-01-01 14:00,641.105
2019-01-01 20:00,2019-01-01 15:00,491.993
2019-01-01 21:00,2019-01-01 16:00,279.759
2019-01-01 22:00,2019-01-01 17:00,29.882
2019-01-01 23:00,2019-01-01 18:00,0
2019-01-02 00:00,2019-01-01 19:00,0
2019-01-02 01:00,2019-01-01 20:00,0
2019-01-02 02:00,2019-01-01 21:00,0
2019-01-02 03:00,2019-01-01 22:00,0
2019-01-02 04:00,2019-01-01 23:00,0
2019-01-02 05:00,2019-01-02 00:00,0
2019-01-02 06:00,2019-01-02 01:00,0
2019-01-02 07:00,2019-01-02 02:00,0
2019-01-02 08:00,2019-01-02 03:00,0
2019-01-02 09:00,2019-01-02 04:00,0
2019-01-02 10:00,2019-01-02 05:00,0
2019-01-02 11:00,2019-01-02 06:00,49.953
2019-01-02 12:00,2019-01-02 07:00,327.079
2019-01-02 13:00,2019-01-02 08:00,528.425
2019-01-02 14:00,2019-01-02 09:00,670.704
2019-01-02 15:00,2019-01-02 10:00,757.166
2019-01-02 16:00,2019-01-02 11:00,794.538
2019-01-02 17:00,2019-01-02 12:00,788.740
2019-01-02 18:00,2019-01-02 13:00,739.933
2019-01-02 19:00,2019-01-02 14:00,643.887
2019-01-02 20:00,2019-01-02 15:00,494.751
2019-01-02 21:00,2019-01-02 16:00,282.345
2019-01-02 22:00,2019-01-02 17:00,30.816
2019-01-02 23:00,2019-01-02 18:00,0
2019-01-03 00:00,2019-01-02 19:00,0
2019-01-03 01:00,2019-01-02 20:00,0
2019-01-03 02:00,2019-01-02 21:00,0
2019-01-03 03:00,2019-01-02 22:00,0
2019-01-03 04:00,2019-01-02 23:00,0
2019-01-03 05:00,2019-01-03 00:00,0
2019-01-03 06:00,2019-01-03 01:00,0
2019-01-03 07:00,2019-01-03 02:00,0
2019-01-03 08:00,2019-01-03 03:00,0
2019-01-03 09:00,2019-01-03 04:00,0
2019-01-03 10:00,2019-01-03 05:00,0
2019-01-03 11:00,2019-01-03 06:00,46.058
2019-01-03 12:00,2019-01-03 07:00,302.284
2019-01-03 13:00,2019-01-03 08:00,515.271
2019-01-03 14:00,2019-01-03 09:00,658.149
2019-01-03 15:00,2019-01-03 10:00,746.549
2019-01-03 16:00,2019-01-03 11:00,784.703
2019-01-03 17:00,2019-01-03 12:00,779.514
