# Renewables.ninja Wind (Point API) - 11.231, -74.205 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in America/Bogota, electricity in kW
# {"units": {"time": "UTC", "local_time": "America/Bogota", "electricity": "kW"}, "params": {"local_time": true, "header": true, "lat": "11.231428728730213", "lon": "-74.20489245008474", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1000", "height": "80", "turbine": "Vestas V90 2000", "raw": false}}
time,local_time,electricity
2019-01-01 00:00,2018-12-31 19:00,887.034
2019-01-01 01:00,2018-12-31 20:00,888.300
2019-01-01 02:00,2018-12-31 21:00,866.230
2019-01-01 03:00,2018-12-31 22:00,842.131
2019-01-01 04:00,2018-12-31 23:00,829.358
2019-01-01 05:00,2019-01-01 00:00,820.416
2019-01-01 06:00,2019-01-01 01:00,822.585
2019-01-01 07:00,2019-01-01 02:00,837.415
2019-01-01 08:00,2019-01-01 03:00,835.368
2019-01-01 09:00,2019-01-01 04:00,875.317
2019-01-01 10:00,2019-01-01 05:00,865.764
2019-01-01 11:00,2019-01-01 06:00,844.717
2019-01-01 12:00,2019-01-01 07:00,836.368
2019-01-01 13:00,2019-01-01 08:00,834.910
2019-01-01 14:00,2019-01-01 09:00,821.762
2019-01-01 15:00,2019-01-01 10:00,765.360
2019-01-01 16:00,2019-01-01 11:00,731.455
2019-01-01 17:00,2019-01-01 12:00,759.412
2019-01-01 18:00,2019-01-01 13:00,794.854
2019-01-01 19:00,2019-01-01 14:00,832.482
2019-01-01 20:00,2019-01-01 15:00,864.636
2019-01-01 21:00,2019-01-01 16:00,891.267
2019-01-01 22:00,2019-01-01 17:00,898.533
2019-01-01 23:00,2019-01-01 18:00,908.394
2019-01-02 00:00,2019-01-01 19:00,909.682
2019-01-02 01:00,2019-01-01 20:00,904.695
2019-01-02 02:00,2019-01-01 21:00,898.878
2019-01-02 03:00,2019-01-01 22:00,884.465
2019-01-02 04:00,2019-01-01 23:00,860.267
2019-01-02 05:00,2019-01-02 00:00,852.365
2019-01-02 06:00,2019-01-02 01:00,863.213
2019-01-02 07:00,2019-01-02 02:00,874.038
2019-01-02 08:00,2019-01-02 03:00,882.513
2019-01-02 09:00,2019-01-02 04:00,890.640
2019-01-02 10:00,2019-01-02 05:00,890.051
2019-01-02 11:00,2019-01-02 06:00,886.357
2019-01-02 12:00,2019-01-02 07:00,889.091
2019-01-02 13:00,2019-01-02 08:00,867.203
2019-01-02 14:00,2019-01-02 09:00,829.201
2019-01-02 15:00,2019-01-02 10:00,771.151
2019-01-02 16:00,2019-01-02 11:00,731.272
2019-01-02 17:00,2019-01-02 12:00,733.546
2019-01-02 18:00,2019-01-02 13:00,762.464
2019-01-02 19:00,2019-01-02 14:00,797.961
2019-01-02 20:00,2019-01-02 15:00,827.904
2019-01-02 21:00,2019-01-02 16:00,838.906
2019-01-02 22:00,2019-01-02 17:00,848.573
2019-01-02 23:00,2019-01-02 18:00,875.421
2019-01-03 00:00,2019-01-02 19:00,897.486
2019-01-03 01:00,2019-01-02 20:00,890.856
2019-01-03 02:00,2019-01-02 21:00,875.242
2019-01-03 03:00,2019-01-02 22:00,838.491
2019-01-03 04:00,2019-01-02 23:00,793.834
2019-01-03 05:00,2019-01-03 00:00,771.962
2019-01-03 06:00,2019-01-03 01:00,765.488
2019-01-03 07:00,2019-01-03 02:00,777.158
2019-01-03 08:00,2019-01-03 03:00,781.040
2019-01-03 09:00,2019-01-03 04:00,779.456
2019-01-03 10:00,2019-01-03 05:00,768.479
2019-01-03 11:00,2019-01-03 06:00,739.722
2019-01-03 12:00,2019-01-03 07:00,684.341
2019-01-03 13:00,2019-01-03 08:00,627.772
2019-01-03 14:00,2019-01-03 09:00,563.230
2019-01-03 15:00,2019-01-03 10:00,491.099
2019-01-03 16:00,2019-01-03 11:00,455.880
2019-01-03 17:00,2019-01-03 12:00,459.478
2019-01-03 18:00,2019-01-03 13:00,500.721
2019-01-03 19:00,2019-01-03 14:00,552.973
2019-01-03 20:00,2019-01-03 15:00,616.927
2019-01-03 21:00,2019-01-03 16:00,697.375
2019-01-03 22:00,2019-01-03 17:00,731.792
2019-01-03 23:00,2019-01-03 18:00,739.422
2019-01-04 00:00,2019-01-03 19:00,715.628
2019-01-04 01:00,2019-01-03 20:00,718.659
2019-01-04 02:00,2019-01-03 21:00,710.286
